config_id,mods,density,n_vars,k,n_traj,traj_length,do_proba_learner,do_skeleton_learner,do_KLearner,k_learning_time,BIC_Score,learned_k
"(4, 0.1, 4, 3, 20, 20, False, False, True)",4,0.1,4,3,20,20,False,False,True,1.113817942008609,4373.373087536194,2
"(4, 0.1, 4, 3, 20, 20, False, False, True)",4,0.1,4,3,20,20,False,False,True,0.9712290370080154,3997.036311811522,2
"(4, 0.1, 4, 3, 20, 20, False, False, True)",4,0.1,4,3,20,20,False,False,True,1.0785498229961377,4283.692090556812,3
"(4, 0.1, 4, 3, 20, 20, False, False, True)",4,0.1,4,3,20,20,False,False,True,1.0748998609924456,4399.954804513787,2
"(4, 0.1, 4, 3, 20, 20, False, False, True)",4,0.1,4,3,20,20,False,False,True,1.0325473510019947,3911.6830502046196,3
"(4, 0.1, 4, 3, 20, 20, False, False, True)",4,0.1,4,3,20,20,False,False,True,0.9711841339885723,4391.471807156852,3
"(4, 0.1, 4, 3, 20, 20, False, False, True)",4,0.1,4,3,20,20,False,False,True,1.0317414609889966,4215.878319707932,2
"(4, 0.1, 4, 3, 20, 20, False, False, True)",4,0.1,4,3,20,20,False,False,True,1.1692409550014418,4190.880161633592,3
"(4, 0.1, 4, 3, 20, 20, False, False, True)",4,0.1,4,3,20,20,False,False,True,1.080390224000439,4318.403447642813,3
"(4, 0.1, 4, 3, 20, 20, False, False, True)",4,0.1,4,3,20,20,False,False,True,1.0559916609927313,4397.584111017964,3
"(4, 0.1, 4, 3, 20, 20, False, False, True)",4,0.1,4,3,20,20,False,False,True,1.1634567750006681,4330.948913636053,2
"(4, 0.1, 4, 3, 20, 20, False, False, True)",4,0.1,4,3,20,20,False,False,True,0.9730274860048667,4271.031289280297,2
"(4, 0.1, 4, 3, 20, 20, False, False, True)",4,0.1,4,3,20,20,False,False,True,1.0354150729981484,4352.22466537999,2
"(4, 0.1, 4, 3, 20, 20, False, False, True)",4,0.1,4,3,20,20,False,False,True,0.9913237069995375,4395.13916905192,2
"(4, 0.1, 4, 3, 20, 20, False, False, True)",4,0.1,4,3,20,20,False,False,True,0.9720651769894175,4136.825694321862,2
"(4, 0.1, 4, 3, 20, 20, False, False, True)",4,0.1,4,3,20,20,False,False,True,1.0774098609981593,4318.764206667358,3
"(4, 0.1, 4, 3, 20, 20, False, False, True)",4,0.1,4,3,20,20,False,False,True,1.127748769999016,4279.158239717285,3
"(4, 0.1, 4, 3, 20, 20, False, False, True)",4,0.1,4,3,20,20,False,False,True,1.0309989410015987,4347.387065111528,3
"(4, 0.1, 4, 3, 20, 20, False, False, True)",4,0.1,4,3,20,20,False,False,True,1.0301049319969025,4242.059550359702,2
"(4, 0.1, 4, 3, 20, 20, False, False, True)",4,0.1,4,3,20,20,False,False,True,1.0231286799971713,4486.455332393892,2
"(4, 0.1, 4, 3, 20, 20, False, False, True)",4,0.1,4,3,20,20,False,False,True,0.9724756810028339,4305.861586914867,2
"(4, 0.1, 4, 3, 20, 20, False, False, True)",4,0.1,4,3,20,20,False,False,True,1.207964829998673,4245.954505245427,2
"(4, 0.1, 4, 3, 20, 20, False, False, True)",4,0.1,4,3,20,20,False,False,True,1.1463496220094385,4065.504918454407,3
"(4, 0.1, 4, 3, 20, 20, False, False, True)",4,0.1,4,3,20,20,False,False,True,0.9824302919878392,4222.086743382149,2
"(4, 0.1, 4, 3, 20, 20, False, False, True)",4,0.1,4,3,20,20,False,False,True,0.9771295360114891,4325.4653815063775,2
"(4, 0.1, 4, 3, 20, 20, False, False, True)",4,0.1,4,3,20,20,False,False,True,1.0685385120013962,4245.128028442772,2
"(4, 0.1, 4, 3, 20, 20, False, False, True)",4,0.1,4,3,20,20,False,False,True,1.158146609988762,4203.513385629362,2
"(4, 0.1, 4, 3, 20, 20, False, False, True)",4,0.1,4,3,20,20,False,False,True,1.079410292004468,4171.447518994652,2
"(4, 0.1, 4, 3, 20, 20, False, False, True)",4,0.1,4,3,20,20,False,False,True,1.1717868749983609,4197.967484798282,3
"(4, 0.1, 4, 3, 20, 20, False, False, True)",4,0.1,4,3,20,20,False,False,True,1.1380730680102715,4085.271487001844,3
"(4, 0.1, 4, 3, 20, 20, False, False, True)",4,0.1,4,3,20,20,False,False,True,1.0691747189994203,4222.408484904769,3
"(4, 0.1, 4, 3, 20, 20, False, False, True)",4,0.1,4,3,20,20,False,False,True,1.0966104739927687,4358.563917104225,3
"(4, 0.1, 4, 3, 20, 20, False, False, True)",4,0.1,4,3,20,20,False,False,True,1.142149662002339,4270.114036629251,2
"(4, 0.1, 4, 3, 20, 20, False, False, True)",4,0.1,4,3,20,20,False,False,True,1.0564345180027885,4352.540222513313,3
"(4, 0.1, 4, 3, 20, 20, False, False, True)",4,0.1,4,3,20,20,False,False,True,0.9720196039997973,4253.432601826534,2
"(4, 0.1, 4, 3, 20, 20, False, False, True)",4,0.1,4,3,20,20,False,False,True,1.0232538439886412,4441.140892100277,2
"(4, 0.1, 4, 3, 20, 20, False, False, True)",4,0.1,4,3,20,20,False,False,True,1.1489142919890583,4280.500022264405,3
"(4, 0.1, 4, 3, 20, 20, False, False, True)",4,0.1,4,3,20,20,False,False,True,1.021642913998221,4188.437468397529,3
"(4, 0.1, 4, 3, 20, 20, False, False, True)",4,0.1,4,3,20,20,False,False,True,1.0427892909938237,4147.770037819948,2
"(4, 0.1, 4, 3, 20, 20, False, False, True)",4,0.1,4,3,20,20,False,False,True,1.189823834996787,4236.150111443645,3
"(4, 0.1, 4, 3, 20, 20, False, False, True)",4,0.1,4,3,20,20,False,False,True,1.0269968859938672,4366.838296912805,2
"(4, 0.1, 4, 3, 20, 20, False, False, True)",4,0.1,4,3,20,20,False,False,True,1.1732484690001002,4076.1378917473207,3
