config_id,mods,density,n_vars,k,n_traj,traj_length,do_proba_learner,do_skeleton_learner,do_KLearner,k_learning_time,BIC_Score,learned_k
"(4, 0.1, 4, 2, 100, 30, False, False, True)",4,0.1,4,2,100,30,False,False,True,6.253927932000806,27753.126077911307,2
"(4, 0.1, 4, 2, 100, 30, False, False, True)",4,0.1,4,2,100,30,False,False,True,5.7701782990006905,29776.339505468222,2
"(4, 0.1, 4, 2, 100, 30, False, False, True)",4,0.1,4,2,100,30,False,False,True,6.2045337700001255,30176.156717884463,2
"(4, 0.1, 4, 2, 100, 30, False, False, True)",4,0.1,4,2,100,30,False,False,True,6.20505570900059,29003.271852591984,2
"(4, 0.1, 4, 2, 100, 30, False, False, True)",4,0.1,4,2,100,30,False,False,True,6.2288290729993605,30592.00718479707,2
"(4, 0.1, 4, 2, 100, 30, False, False, True)",4,0.1,4,2,100,30,False,False,True,6.151500006999413,29760.15324319352,2
"(4, 0.1, 4, 3, 100, 30, False, False, True)",4,0.1,4,3,100,30,False,False,True,6.171095190002234,30771.947147432806,3
"(4, 0.1, 4, 3, 100, 30, False, False, True)",4,0.1,4,3,100,30,False,False,True,6.210505062001175,31855.38591685821,3
"(4, 0.1, 4, 3, 100, 30, False, False, True)",4,0.1,4,3,100,30,False,False,True,6.213854968002124,28276.542901912762,3
"(4, 0.1, 4, 3, 100, 30, False, False, True)",4,0.1,4,3,100,30,False,False,True,6.189039740998851,31931.60025938533,3
"(4, 0.1, 4, 3, 100, 30, False, False, True)",4,0.1,4,3,100,30,False,False,True,6.084925257000577,30297.426990067186,3
"(4, 0.1, 4, 3, 100, 30, False, False, True)",4,0.1,4,3,100,30,False,False,True,6.641762778999691,30093.913707402397,3
"(4, 0.1, 4, 3, 100, 30, False, False, True)",4,0.1,4,3,100,30,False,False,True,6.610225139000249,28149.153082972713,3
"(4, 0.1, 4, 3, 100, 30, False, False, True)",4,0.1,4,3,100,30,False,False,True,6.477436009001394,32273.777939086234,3
"(4, 0.1, 4, 3, 100, 30, False, False, True)",4,0.1,4,3,100,30,False,False,True,6.60537712400037,28880.130158195494,3
"(4, 0.1, 4, 3, 100, 30, False, False, True)",4,0.1,4,3,100,30,False,False,True,6.172804262001591,31668.12320267029,3
"(4, 0.1, 4, 3, 100, 30, False, False, True)",4,0.1,4,3,100,30,False,False,True,6.253780998998991,29890.944526666513,3
"(4, 0.1, 4, 3, 100, 30, False, False, True)",4,0.1,4,3,100,30,False,False,True,6.635222665001493,30514.81677138465,3
"(4, 0.1, 4, 3, 100, 30, False, False, True)",4,0.1,4,3,100,30,False,False,True,6.161478607999015,29608.36243786086,3
"(4, 0.1, 4, 3, 100, 30, False, False, True)",4,0.1,4,3,100,30,False,False,True,6.748681655000837,30579.801824272334,3
"(4, 0.1, 4, 3, 100, 30, False, False, True)",4,0.1,4,3,100,30,False,False,True,6.650154674000078,30609.150196870098,3
"(4, 0.1, 4, 3, 100, 30, False, False, True)",4,0.1,4,3,100,30,False,False,True,7.039131761997851,29622.434719929068,3
"(4, 0.1, 4, 3, 100, 30, False, False, True)",4,0.1,4,3,100,30,False,False,True,5.714114942999004,30465.346600284443,3
"(4, 0.1, 4, 3, 100, 30, False, False, True)",4,0.1,4,3,100,30,False,False,True,6.613929939001537,31253.60013416916,3
"(4, 0.1, 4, 3, 100, 30, False, False, True)",4,0.1,4,3,100,30,False,False,True,6.229036710999935,30980.2493889679,3
"(4, 0.1, 4, 3, 100, 30, False, False, True)",4,0.1,4,3,100,30,False,False,True,7.280233885998314,29499.58161163798,3
"(4, 0.1, 4, 4, 100, 30, False, False, True)",4,0.1,4,4,100,30,False,False,True,6.206990697999572,32617.06941158852,4
"(4, 0.1, 4, 4, 100, 30, False, False, True)",4,0.1,4,4,100,30,False,False,True,7.0151347419996455,31684.933847622036,4
"(4, 0.1, 4, 4, 100, 30, False, False, True)",4,0.1,4,4,100,30,False,False,True,6.375209451998671,32257.244062053494,4
"(4, 0.1, 4, 4, 100, 30, False, False, True)",4,0.1,4,4,100,30,False,False,True,6.6931000240001595,30980.14867806565,3
"(4, 0.1, 4, 4, 100, 30, False, False, True)",4,0.1,4,4,100,30,False,False,True,6.434916492999037,27548.325080346043,4
"(4, 0.1, 4, 4, 100, 30, False, False, True)",4,0.1,4,4,100,30,False,False,True,6.4953609369986225,31821.294677980513,4
"(4, 0.1, 4, 4, 100, 30, False, False, True)",4,0.1,4,4,100,30,False,False,True,6.581054240999947,30300.939410902494,4
"(4, 0.1, 4, 4, 100, 30, False, False, True)",4,0.1,4,4,100,30,False,False,True,6.386216238999623,30491.185869047593,4
"(4, 0.1, 4, 4, 100, 30, False, False, True)",4,0.1,4,4,100,30,False,False,True,6.385662524000509,30920.057469545176,4
"(4, 0.1, 4, 4, 100, 30, False, False, True)",4,0.1,4,4,100,30,False,False,True,6.163043966997066,29796.42995287836,4
"(4, 0.1, 4, 4, 100, 30, False, False, True)",4,0.1,4,4,100,30,False,False,True,6.3648427490006725,30875.44770834097,4
"(4, 0.1, 4, 4, 100, 30, False, False, True)",4,0.1,4,4,100,30,False,False,True,5.722426030999486,31776.15988007439,4
"(4, 0.1, 4, 4, 100, 30, False, False, True)",4,0.1,4,4,100,30,False,False,True,5.610529837998911,30659.901735901705,4
"(4, 0.1, 4, 4, 100, 30, False, False, True)",4,0.1,4,4,100,30,False,False,True,6.142261446999328,31118.544721559745,4
"(4, 0.1, 4, 4, 100, 30, False, False, True)",4,0.1,4,4,100,30,False,False,True,5.993249016002665,31535.31572328067,4
"(4, 0.1, 4, 4, 100, 30, False, False, True)",4,0.1,4,4,100,30,False,False,True,6.629087813002116,28944.321216659617,4
"(4, 0.1, 4, 4, 100, 30, False, False, True)",4,0.1,4,4,100,30,False,False,True,6.6724782249984855,31887.375886142418,3
"(4, 0.1, 4, 4, 100, 30, False, False, True)",4,0.1,4,4,100,30,False,False,True,6.978847567999765,30361.6332248614,4
"(4, 0.1, 4, 4, 100, 30, False, False, True)",4,0.1,4,4,100,30,False,False,True,6.612273563001509,29275.224306386695,4
"(4, 0.1, 4, 4, 100, 30, False, False, True)",4,0.1,4,4,100,30,False,False,True,6.4557243659983214,30337.319172598633,4
"(4, 0.1, 4, 5, 100, 30, False, False, True)",4,0.1,4,5,100,30,False,False,True,6.2639052029990125,32508.094207186383,4
"(4, 0.1, 4, 5, 100, 30, False, False, True)",4,0.1,4,5,100,30,False,False,True,6.162606052002957,32564.95062509586,5
"(4, 0.1, 4, 5, 100, 30, False, False, True)",4,0.1,4,5,100,30,False,False,True,6.213255921000382,32081.18830515184,3
"(4, 0.1, 4, 5, 100, 30, False, False, True)",4,0.1,4,5,100,30,False,False,True,6.516974232999928,32385.909781812235,5
"(4, 0.1, 4, 5, 100, 30, False, False, True)",4,0.1,4,5,100,30,False,False,True,6.442730578997725,31491.853683979723,5
"(4, 0.1, 4, 5, 100, 30, False, False, True)",4,0.1,4,5,100,30,False,False,True,6.619466216998262,32626.86753183259,5
"(4, 0.1, 4, 5, 100, 30, False, False, True)",4,0.1,4,5,100,30,False,False,True,6.491704536998441,32598.442064473318,5
"(4, 0.1, 4, 5, 100, 30, False, False, True)",4,0.1,4,5,100,30,False,False,True,5.668050506999862,31570.063800347845,5
"(4, 0.1, 4, 5, 100, 30, False, False, True)",4,0.1,4,5,100,30,False,False,True,6.520336212000984,31888.95434349906,5
"(4, 0.1, 4, 5, 100, 30, False, False, True)",4,0.1,4,5,100,30,False,False,True,6.4674740549999115,32585.77542876249,5
"(4, 0.1, 4, 5, 100, 30, False, False, True)",4,0.1,4,5,100,30,False,False,True,6.785087104999548,30851.67343828173,5
"(4, 0.1, 4, 5, 100, 30, False, False, True)",4,0.1,4,5,100,30,False,False,True,6.221707501998026,32770.02197299877,2
"(4, 0.1, 4, 5, 100, 30, False, False, True)",4,0.1,4,5,100,30,False,False,True,6.014591369003028,32868.14828135109,5
"(4, 0.1, 4, 5, 100, 30, False, False, True)",4,0.1,4,5,100,30,False,False,True,5.901620484000887,32395.149512397267,4
"(4, 0.1, 4, 5, 100, 30, False, False, True)",4,0.1,4,5,100,30,False,False,True,6.777565112999582,31813.746268141156,5
"(4, 0.1, 4, 5, 100, 30, False, False, True)",4,0.1,4,5,100,30,False,False,True,6.704018155000085,32152.802570799202,4
"(4, 0.1, 4, 5, 100, 30, False, False, True)",4,0.1,4,5,100,30,False,False,True,6.358951462996629,28379.486456414594,5
"(4, 0.1, 4, 5, 100, 30, False, False, True)",4,0.1,4,5,100,30,False,False,True,6.355553635999968,29583.77696815914,5
"(4, 0.1, 4, 5, 100, 30, False, False, True)",4,0.1,4,5,100,30,False,False,True,6.762154530999396,32405.140180441074,5
"(4, 0.1, 4, 5, 100, 30, False, False, True)",4,0.1,4,5,100,30,False,False,True,6.5248037749988725,30817.440702950764,5
"(4, 0.1, 4, 6, 100, 30, False, False, True)",4,0.1,4,6,100,30,False,False,True,5.907030481001129,33082.87539713555,2
"(4, 0.1, 4, 6, 100, 30, False, False, True)",4,0.1,4,6,100,30,False,False,True,6.63378063500204,31332.18102250083,6
"(4, 0.1, 4, 6, 100, 30, False, False, True)",4,0.1,4,6,100,30,False,False,True,6.7015137980015425,32287.283871687836,6
