config_id,mods,density,n_vars,k,n_traj,traj_length,do_learner,do_KLearner,klPQ,errorPQ,klQP,errorQP,hellinger,bhattacharya,jensen-shannon,count,recall,precision,fscore,dist2opt,skeleton_count,skeleton_recall,skeleton_precision,skeleton_fscore,skeleton_dist2opt,hamming,structural hamming,learning_time
"(3, 0.5, 4, 2, 100, 11, True, False)",3,0.5,4,2,100,11,True,False,0.9404122651296875,0,1.4343489778189686,0,0.6039230014385424,0.16992794753470655,0.24104509239452707,"{'tp': 2, 'tn': 42, 'fp': 0, 'fn': 12}",0.14285714285714285,1.0,0.25,0.8571428571428572,"{'tp': 2, 'tn': 14, 'fp': 0, 'fn': 12}",0.14285714285714285,1.0,0.25,0.8571428571428572,12,14,0.0011824289977084845
"(3, 0.5, 4, 2, 100, 11, True, False)",3,0.5,4,2,100,11,True,False,1.1112639828997593,0,1.114930760484115,0,0.5885092065299624,0.20665200238894316,0.23026157460508925,"{'tp': 4, 'tn': 42, 'fp': 0, 'fn': 10}",0.2857142857142857,1.0,0.4444444444444445,0.7142857142857143,"{'tp': 4, 'tn': 14, 'fp': 0, 'fn': 10}",0.2857142857142857,1.0,0.4444444444444445,0.7142857142857143,10,14,0.00139746000058949
"(3, 0.5, 4, 2, 100, 11, True, False)",3,0.5,4,2,100,11,True,False,1.1295225501999684,0,1.5201145627482233,0,0.6385296190620068,0.210220352155851,0.26925101610856106,"{'tp': 1, 'tn': 42, 'fp': 0, 'fn': 13}",0.07142857142857142,1.0,0.13333333333333333,0.9285714285714286,"{'tp': 1, 'tn': 14, 'fp': 0, 'fn': 13}",0.07142857142857142,1.0,0.13333333333333333,0.9285714285714286,13,14,0.0012401290005072951
"(3, 0.5, 4, 2, 100, 11, True, False)",3,0.5,4,2,100,11,True,False,1.2920194568105638,0,1.4515662532095008,0,0.6408289564413139,0.2692596970108743,0.26831606512040446,"{'tp': 3, 'tn': 41, 'fp': 1, 'fn': 11}",0.21428571428571427,0.75,0.3333333333333333,0.8245283129010854,"{'tp': 4, 'tn': 14, 'fp': 0, 'fn': 10}",0.2857142857142857,1.0,0.4444444444444445,0.7142857142857143,10,12,0.0013830130046699196
"(3, 0.5, 4, 2, 100, 11, True, False)",3,0.5,4,2,100,11,True,False,1.7749485337890807,0,1.4146328486356625,0,0.690168701523378,0.36911979679389467,0.3084332583002657,"{'tp': 3, 'tn': 42, 'fp': 0, 'fn': 11}",0.21428571428571427,1.0,0.35294117647058826,0.7857142857142857,"{'tp': 3, 'tn': 14, 'fp': 0, 'fn': 11}",0.21428571428571427,1.0,0.35294117647058826,0.7857142857142857,11,13,0.0015478279965464026
"(3, 0.5, 4, 2, 100, 11, True, False)",3,0.5,4,2,100,11,True,False,1.4337122826559274,0,2.3696486381131203,0,0.7447804674695142,0.26575090264306267,0.3550284898507519,"{'tp': 2, 'tn': 41, 'fp': 1, 'fn': 12}",0.14285714285714285,0.6666666666666666,0.23529411764705882,0.9196765674203794,"{'tp': 3, 'tn': 14, 'fp': 0, 'fn': 11}",0.21428571428571427,1.0,0.35294117647058826,0.7857142857142857,11,13,0.0016726250032661483
"(3, 0.5, 4, 2, 100, 11, True, False)",3,0.5,4,2,100,11,True,False,1.2693351739068386,0,1.6404899402527988,0,0.6667809576132205,0.21887820341050013,0.2913379898650774,"{'tp': 2, 'tn': 40, 'fp': 2, 'fn': 12}",0.14285714285714285,0.5,0.22222222222222224,0.9923174278178433,"{'tp': 4, 'tn': 14, 'fp': 0, 'fn': 10}",0.2857142857142857,1.0,0.4444444444444445,0.7142857142857143,10,12,0.0013722910080105066
"(3, 0.5, 4, 2, 100, 11, True, False)",3,0.5,4,2,100,11,True,False,0.7126518941312665,0,0.9688325303873894,0,0.5127977262038147,0.13661182981098827,0.1757633132906033,"{'tp': 2, 'tn': 42, 'fp': 0, 'fn': 12}",0.14285714285714285,1.0,0.25,0.8571428571428572,"{'tp': 2, 'tn': 14, 'fp': 0, 'fn': 12}",0.14285714285714285,1.0,0.25,0.8571428571428572,12,13,0.001363775008940138
"(3, 0.5, 4, 2, 100, 11, True, False)",3,0.5,4,2,100,11,True,False,1.025207117320844,0,1.6912271254992175,0,0.6294722242684814,0.20248692336007715,0.2568852981741695,"{'tp': 3, 'tn': 42, 'fp': 0, 'fn': 11}",0.21428571428571427,1.0,0.35294117647058826,0.7857142857142857,"{'tp': 3, 'tn': 14, 'fp': 0, 'fn': 11}",0.21428571428571427,1.0,0.35294117647058826,0.7857142857142857,11,14,0.0013801370077999309
"(3, 0.5, 4, 2, 100, 11, True, False)",3,0.5,4,2,100,11,True,False,0.9766340374062952,0,1.0739643566836676,0,0.5622533783752202,0.20092858282051898,0.20937424672266436,"{'tp': 2, 'tn': 40, 'fp': 2, 'fn': 12}",0.14285714285714285,0.5,0.22222222222222224,0.9923174278178433,"{'tp': 4, 'tn': 14, 'fp': 0, 'fn': 10}",0.2857142857142857,1.0,0.4444444444444445,0.7142857142857143,10,12,0.0013631340116262436
