config_id,mods,density,n_vars,k,n_traj,traj_length,do_proba_learner,do_skeleton_learner,do_KLearner,klPQ,errorPQ,klQP,errorQP,hellinger,bhattacharya,jensen-shannon,learning_time
"(2, 0.1, 3, 2, 500, 10, True, False, False)",2,0.1,3,2,500,10,True,False,False,0.0023519141231209636,0,0.0023437583520635047,0,0.02852296593305996,0.0004068625501528096,0.0005867593810869442,0.0015385739998237113
"(2, 0.1, 3, 2, 500, 10, True, False, False)",2,0.1,3,2,500,10,True,False,False,0.010026631924116071,0,0.00994294380437848,0,0.05881003985553014,0.0017308073772053629,0.0024935402342075334,0.0014086900000620517
"(2, 0.1, 3, 2, 500, 10, True, False, False)",2,0.1,3,2,500,10,True,False,False,0.0017569711211609137,0,0.0017564060103113675,0,0.02467280375453362,0.00030441995360767985,0.00043906451381390144,0.0015893210002104752
"(2, 0.1, 3, 2, 500, 10, True, False, False)",2,0.1,3,2,500,10,True,False,False,0.010881415299998694,0,0.011144822918865357,0,0.06176438209239463,0.0019092408886393116,0.0027503716214305122,0.0012578559999383288
"(2, 0.1, 3, 2, 500, 10, True, False, False)",2,0.1,3,2,500,10,True,False,False,0.002801781451771901,0,0.0027948095606796387,0,0.031139328308505895,0.00048494645127711457,0.0006993466340798069,0.0011173209995831712
"(2, 0.1, 3, 2, 500, 10, True, False, False)",2,0.1,3,2,500,10,True,False,False,0.005680128800065725,0,0.005751194530501089,0,0.044498741561640805,0.0009905594423386774,0.0014278205807266037,0.001762580000104208
"(2, 0.1, 3, 2, 500, 10, True, False, False)",2,0.1,3,2,500,10,True,False,False,0.0017568258788770701,0,0.001754242593795629,0,0.0246649069447922,0.00030422508905743936,0.0004387909974419117,0.0011079440000685281
"(2, 0.1, 3, 2, 500, 10, True, False, False)",2,0.1,3,2,500,10,True,False,False,0.020364616035250586,0,0.02388498619087941,0,0.08715571820620145,0.0038052905512552565,0.005429674924551384,0.0009405689997947775
"(2, 0.1, 3, 2, 500, 10, True, False, False)",2,0.1,3,2,500,10,True,False,False,0.0057505585279855895,0,0.0057632615556758235,0,0.04466049173403886,0.00099777737529221,0.0014383140660979947,0.0014278400003604474
"(2, 0.1, 3, 2, 500, 10, True, False, False)",2,0.1,3,2,500,10,True,False,False,0.001011579728656671,0,0.0009959577283481468,0,0.018649995584042237,0.00017392629194286843,0.00025085940893835185,0.0015575159995933063
"(2, 0.1, 3, 2, 500, 10, True, False, False)",2,0.1,3,2,500,10,True,False,False,0.0022061458817840707,0,0.0022047706191077048,0,0.027644105092447895,0.00038217129132698976,0.0005511380898544302,0.0013308679999681772
"(2, 0.1, 3, 2, 500, 10, True, False, False)",2,0.1,3,2,500,10,True,False,False,0.002206132105115004,0,0.0021874183194362596,0,0.0275906855437981,0.0003806954196953172,0.0005490519512412646,0.0012240659998496994
"(2, 0.1, 3, 2, 500, 10, True, False, False)",2,0.1,3,2,500,10,True,False,False,0.012360669769137736,0,0.012790040007901769,0,0.06598395511717467,0.002179314147392579,0.003137501332140053,0.001459782999518211
"(2, 0.1, 3, 2, 500, 10, True, False, False)",2,0.1,3,2,500,10,True,False,False,0.0029054896465622398,0,0.0034763097612604712,0,0.033079320683817776,0.0005472704536119337,0.0007812863685901348,0.001285072999962722
"(2, 0.1, 3, 2, 500, 10, True, False, False)",2,0.1,3,2,500,10,True,False,False,0.0053636375543768934,0,0.005731420319265471,0,0.04381357282831632,0.0009602754989606252,0.0013825695832569093,0.0012066949993823073
"(2, 0.1, 3, 2, 500, 10, True, False, False)",2,0.1,3,2,500,10,True,False,False,0.004121759906367303,0,0.004297352648460428,0,0.038172284245887825,0.0007288271722856452,0.001049808199017046,0.00126406399976986
"(2, 0.1, 3, 2, 500, 10, True, False, False)",2,0.1,3,2,500,10,True,False,False,0.00375407050606046,0,0.0037105217443610975,0,0.03596064211751245,0.0006467930162649916,0.0009325729446629898,0.0024294909999298397
"(2, 0.1, 3, 2, 500, 10, True, False, False)",2,0.1,3,2,500,10,True,False,False,0.0047886166635656225,0,0.0047649673454859525,0,0.040681359010713763,0.0008278290414074972,0.0011934236889682062,0.001429848000043421
"(2, 0.1, 3, 2, 500, 10, True, False, False)",2,0.1,3,2,500,10,True,False,False,0.0034633514346672795,0,0.0034397947231813554,0,0.03458123743374327,0.000598109823249231,0.0008623712229084779,0.0010982110006807488
"(2, 0.1, 3, 2, 500, 10, True, False, False)",2,0.1,3,2,500,10,True,False,False,0.0031754127683729415,0,0.0032842326894838058,0,0.03344933551924794,0.0005595855621398625,0.0008067158434163958,0.0014790529994570534
"(2, 0.1, 3, 2, 500, 30, True, False, False)",2,0.1,3,2,500,30,True,False,False,0.005524013987028818,0,0.005329364369226927,0,0.04334531799328762,0.0009398498164761117,0.0013538920149521645,0.003866820999974152
"(2, 0.1, 3, 2, 500, 30, True, False, False)",2,0.1,3,2,500,30,True,False,False,0.0021951723545375,0,0.002197546407618529,0,0.027588653782344427,0.0003806393427249,0.0005489941501818883,0.0030953690002206713
"(2, 0.1, 3, 2, 500, 30, True, False, False)",2,0.1,3,2,500,30,True,False,False,0.005002776428931556,0,0.005014762051216941,0,0.04165688247848799,0.00086802455324472,0.0012513109202583837,0.003740354000001389
"(2, 0.1, 3, 2, 500, 30, True, False, False)",2,0.1,3,2,500,30,True,False,False,0.002938066901049108,0,0.002902809398242349,0,0.03181078043371956,0.0005060909183088422,0.0007297909403827802,0.0041310759997941204
